KIDEN;Altstation;Altsommetdespistes;Kmpistesalpin;Nbvertes;Nbbleues;Nbrouges;Nbnoires;tlpheriques;tlcabines;tlsieges;tlskis;Pxalpin;Kmpistesfond;PXfond;Nblits;bassesaison;hautesaison;Prixappartementbassesaison;Prixappartementhautesaison;Neigeartificielle;SkiFrance;Liaisonsautresstations;Tranchesprixsemaine;Rapportqualite.prixforfait;Stationfamiliale.enfants;Domaineperformant;Grandski;Surf;Stationvillagenature;Grandsitenordique;Activitesnature;Manifestationsculturelles;Animation;Autoroute;sncf;aeroport;Massif;Departement
Avoriaz;1800;2460;150;3;24;17;5;1;2;21;18;154;47;0;16000;435;630;1855;4480;Neige art.;Ski-france;Liaison;Px 7000-9000;Bon rapport q-p;familiale;D. performant;Grand ski;Surf;Station pas village;D. pas grand fond;Act. nature;Man. culturelle1;Animations;Autoroute proche;sncf proche;aeroport proche;Alpes du Nord;Haute-Savoie (74)
Bernex;1000;2000;50;5;4;8;4;0;0;3;3;75;35;25;5000;270;335;1500;2000;Neige art.;pas Ski-france;Pas liaison;Px <5000;Mauvais rapport q-p;pas familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. pas grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport proche;Alpes du Nord;Haute-Savoie (74)
Morzine;1000;2460;130;11;13;27;9;2;3;33;30;139;97;0;16000;270;350;1600;2300;Neige art.;Ski-france;Liaison;Px 5000-7000;Bon rapport q-p;familiale;D. performant;Grand ski;Pas surf;Station village;D. grand fond;Pas act. nature;Pas man. culturelles;Animations;Autoroute proche;sncf proche;aeroport proche;Alpes du Nord;Haute-Savoie (74)
LaChapelledAbondance;1000;2000;75;5;6;5;1;0;1;4;7;93;35;0;6500;290;350;1300;3100;Pas neige art.;pas Ski-france;Liaison;Px 5000-7000;Bon rapport q-p;pas familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. pas grand fond;Act. nature;Pas man. culturelles;Pas animation;Autoroute loin;sncf proche;aeroport loin;Alpes du Nord;Haute-Savoie (74)
Abondance;1000;1650;15;2;5;4;1;0;1;1;7;80;12;0;5900;230;260;1250;1650;Neige art.;pas Ski-france;Liaison;Px <5000;Bon rapport q-p;pas familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. pas grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute loin;sncf proche;aeroport loin;Alpes du Nord;Haute-Savoie (74)
Chatel;1200;2200;82;9;11;16;5;0;2;14;34;143;21;0;18000;274;346;1450;3650;Pas neige art.;Ski-france;Liaison;Px 5000-7000;Bon rapport q-p;familiale;D. performant;Pas grand ski;Pas surf;Station village;D. pas grand fond;Pas act. nature;Pas man. culturelles;Animations;Autoroute proche;sncf proche;aeroport proche;Alpes du Nord;Haute-Savoie (74)
TholonlesMemises;1000;2000;50;3;3;10;0;0;1;3;14;82;6;37;5000;290;330;1500;2400;Neige art.;pas Ski-france;Pas liaison;Px <5000;Bon rapport q-p;pas familiale;D. pas performant;Pas grand ski;Pas surf;Station pas village;D. pas grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport proche;Alpes du Nord;Haute-Savoie (74)
LesHaberes;950;1600;25;2;7;8;1;0;0;3;6;70;50;28;2500;230;270;1300;2400;Neige art.;pas Ski-france;Liaison;Px <5000;Bon rapport q-p;familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport proche;Alpes du Nord;Haute-Savoie (74)
Bellevaux;1100;1800;75;10;9;9;3;0;0;3;19;70;70;31;4145;250;250;1300;2700;Neige art.;pas Ski-france;Liaison;Px <5000;Bon rapport q-p;familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport proche;Alpes du Nord;Haute-Savoie (74)
LesGets;1172;2002;130;8;19;25;9;2;3;22;32;139;18;0;14000;250;350;1500;4000;Neige art.;Ski-france;Liaison;Px 7000-9000;Bon rapport q-p;familiale;D. performant;Pas grand ski;Pas surf;Station village;D. pas grand fond;Pas act. nature;Pas man. culturelles;Animations;Autoroute proche;sncf proche;aeroport proche;Alpes du Nord;Haute-Savoie (74)
SaintJeandAulps;900;1800;22;3;6;6;0;0;1;2;6;94;4;28;4500;260;310;1300;2300;Pas neige art.;pas Ski-france;Liaison;Px <5000;Bon rapport q-p;familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. pas grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport proche;Alpes du Nord;Haute-Savoie (74)
PrazdeLys-Sommand;1500;1800;50;4;23;13;3;0;0;3;19;72;70;35;7000;275;305;1700;2350;Pas neige art.;Ski-france;Pas liaison;Px <5000;Mauvais rapport q-p;pas familiale;D. pas performant;Pas grand ski;Pas surf;Station pas village;D. grand fond;Act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport proche;Alpes du Nord;Haute-Savoie (74)
Samoens;720;2100;32;5;9;16;7;1;1;6;9;135;70;28;15000;210;290;1000;1500;Neige art.;Ski-france;Liaison;Px <5000;Bon rapport q-p;familiale;D. performant;Grand ski;Pas surf;Station village;D. grand fond;Act. nature;Man. culturelle1;Animations;Autoroute proche;sncf proche;aeroport proche;Alpes du Nord;Haute-Savoie (74)
LesCarroz;1140;2010;100;3;14;10;2;0;1;5;9;135;74;30;15000;288;360;1700;3100;Neige art.;Ski-france;Liaison;Px 5000-7000;Bon rapport q-p;familiale;D. performant;Grand ski;Surf;Station village;D. pas grand fond;Act. nature;Pas man. culturelles;Animations;Autoroute proche;sncf proche;aeroport proche;Alpes du Nord;Haute-Savoie (74)
Flaine;1600;2500;150;2;12;23;6;1;1;7;19;160;8;0;8000;290;425;1350;3050;Neige art.;Ski-france;Liaison;Px 5000-7000;Bon rapport q-p;familiale;D. performant;Grand ski;Surf;Station pas village;D. pas grand fond;Pas act. nature;Man. culturelle1;Animations;Autoroute proche;sncf proche;aeroport proche;Alpes du Nord;Haute-Savoie (74)
Morillon;1100;2500;31;2;7;4;2;0;1;4;3;135;70;0;8130;210;295;1300;2800;Pas neige art.;Ski-france;Liaison;Px 5000-7000;Bon rapport q-p;familiale;D. performant;Grand ski;Pas surf;Station village;D. pas grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport proche;Alpes du Nord;Haute-Savoie (74)
Seythenex;1150;1830;10;1;3;3;2;0;0;1;3;75;30;20;1500;250;350;1500;2500;Pas neige art.;pas Ski-france;Pas liaison;Px <5000;Mauvais rapport q-p;pas familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport loin;Alpes du Nord;Haute-Savoie (74)
MontSaxonex;1000;1570;15;3;2;5;1;0;0;1;6;65;5;0;2000;199;203;1400;2700;Pas neige art.;pas Ski-france;Pas liaison;Px <5000;Mauvais rapport q-p;pas familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. pas grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport proche;Alpes du Nord;Haute-Savoie (74)
Montmin;1100;1150;3;2;1;0;0;0;0;0;2;45;0;0;250;250;350;1500;2500;Pas neige art.;pas Ski-france;Pas liaison;Px <5000;Mauvais rapport q-p;pas familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. pas grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport proche;Alpes du Nord;Haute-Savoie (74)
LeGrandBornand;1000;2100;65;13;17;10;2;0;2;11;27;121;56;29;17800;220;305;1500;3800;Neige art.;Ski-france;Pas liaison;Px 5000-7000;Bon rapport q-p;familiale;D. performant;Pas grand ski;Surf;Station village;D. grand fond;Act. nature;Man. culturelle1;Animations;Autoroute proche;sncf proche;aeroport proche;Alpes du Nord;Haute-Savoie (74)
Manigod;1400;1810;25;3;14;8;1;0;0;3;13;67;19;0;7000;250;285;2100;3100;Pas neige art.;pas Ski-france;Liaison;Px 5000-7000;Mauvais rapport q-p;familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. pas grand fond;Act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport proche;Alpes du Nord;Haute-Savoie (74)
LaClusaz;1100;2600;130;25;28;19;3;3;2;13;38;140;70;29;19700;320;390;2400;4000;Neige art.;Ski-france;Liaison;Px 7000-9000;Bon rapport q-p;familiale;D. performant;Pas grand ski;Pas surf;Station village;D. grand fond;Act. nature;Pas man. culturelles;Animations;Autoroute proche;sncf proche;aeroport proche;Alpes du Nord;Haute-Savoie (74)
Passy-PlaineJoux;1350;1650;10;3;3;3;0;0;0;0;7;68;10;0;3600;230;250;1500;2300;Pas neige art.;pas Ski-france;Pas liaison;Px <5000;Mauvais rapport q-p;familiale;D. pas performant;Pas grand ski;Pas surf;Station pas village;D. pas grand fond;Act. nature;Man. culturelle1;Animations;Autoroute proche;sncf proche;aeroport loin;Alpes du Nord;Haute-Savoie (74)
Chamonix-Mont-Blanc;1035;3330;140;17;17;24;8;6;4;18;20;135;42;30;56000;270;350;2250;3950;Neige art.;Ski-france;Pas liaison;Px 7000-9000;Mauvais rapport q-p;familiale;D. pas performant;Grand ski;Surf;Station pas village;D. grand fond;Act. nature;Man. culturelle1;Animations;Autoroute proche;sncf proche;aeroport loin;Alpes du Nord;Haute-Savoie (74)
Vallorcine;1260;1400;3;0;1;1;0;0;0;0;2;58;15;25;1800;280;300;1400;1800;Pas neige art.;pas Ski-france;Pas liaison;Px <5000;Mauvais rapport q-p;pas familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. pas grand fond;Pas act. nature;Man. culturelle1;Pas animation;Autoroute proche;sncf proche;aeroport loin;Alpes du Nord;Haute-Savoie (74)
Combloux;1000;1853;62;3;12;13;3;0;1;9;15;99;15;0;9500;253;306;1700;3400;Neige art.;Ski-france;Liaison;Px 5000-7000;Bon rapport q-p;familiale;D. performant;Pas grand ski;Surf;Station village;D. pas grand fond;Act. nature;Pas man. culturelles;Animations;Autoroute proche;sncf proche;aeroport loin;Alpes du Nord;Haute-Savoie (74)
Cordon;1000;1600;11;1;3;5;0;0;0;0;6;67;5;0;4000;240;300;1250;2150;Pas neige art.;pas Ski-france;Pas liaison;Px <5000;Mauvais rapport q-p;pas familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. pas grand fond;Act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport loin;Alpes du Nord;Haute-Savoie (74)
SaintGervais;850;2350;300;9;21;33;8;1;3;13;26;155;30;0;25000;200;250;1400;2600;Neige art.;Ski-france;Liaison;Px 5000-7000;Bon rapport q-p;familiale;D. performant;Pas grand ski;Surf;Station village;D. pas grand fond;Pas act. nature;Man. culturelle1;Animations;Autoroute proche;sncf proche;aeroport loin;Alpes du Nord;Haute-Savoie (74)
LesContaminesMontjoie;1164;2487;120;7;9;16;10;0;3;8;16;140;29;30;12000;250;290;1700;2650;Neige art.;Ski-france;Liaison;Px 5000-7000;Bon rapport q-p;familiale;D. performant;Pas grand ski;Surf;Station village;D. pas grand fond;Act. nature;Pas man. culturelles;Animations;Autoroute proche;sncf proche;aeroport loin;Alpes du Nord;Haute-Savoie (74)
Megeve;1113;2350;300;21;37;49;17;3;6;25;47;155;75;30;42800;325;375;2500;5000;Neige art.;Ski-france;Liaison;Px 7000-9000;Bon rapport q-p;familiale;D. performant;Pas grand ski;Surf;Station village;D. grand fond;Act. nature;Pas man. culturelles;Animations;Autoroute proche;sncf proche;aeroport proche;Alpes du Nord;Haute-Savoie (74)
Flumet;1000;2070;40;9;5;5;1;0;0;8;32;85;25;0;5300;190;240;1750;2250;Neige art.;Ski-france;Liaison;Px <5000;Bon rapport q-p;pas familiale;D. performant;Pas grand ski;Pas surf;Station village;D. pas grand fond;Act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport loin;Alpes du Nord;Savoie (73)
LaGiettazenAravis;1100;1930;20;4;4;7;3;0;0;1;7;81;6;0;2200;200;260;1000;1500;Pas neige art.;pas Ski-france;Pas liaison;Px <5000;Mauvais rapport q-p;pas familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. pas grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport loin;Alpes du Nord;Savoie (73)
Crest-VolandCohennoz;1230;1650;45;14;7;5;0;0;0;3;14;91;100;46;95;245;330;1600;3200;Pas neige art.;Ski-france;Liaison;Px 5000-7000;Bon rapport q-p;familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. pas grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport loin;Alpes du Nord;Savoie (73)
Notre-DamedeBellecombe;1150;2070;70;9;10;9;3;0;0;3;15;105;8;0;7500;260;330;1400;3200;Pas neige art.;Ski-france;Liaison;Px 5000-7000;Bon rapport q-p;familiale;D. performant;Pas grand ski;Pas surf;Station village;D. pas grand fond;Act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport loin;Alpes du Nord;Savoie (73)
Areches-Beaufort;1050;2100;34;4;8;9;3;0;0;4;9;96;38;23;6000;240;280;1168;2700;Neige art.;Ski-france;Pas liaison;Px 5000-7000;Bon rapport q-p;pas familiale;D. performant;Pas grand ski;Pas surf;Station village;D. grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport loin;Alpes du Nord;Savoie (73)
LesSaisies;1650;2000;60;3;13;8;2;0;0;8;16;107;100;45;10000;235;320;1640;3710;Pas neige art.;Ski-france;Liaison;Px 5000-7000;Bon rapport q-p;familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. grand fond;Act. nature;Pas man. culturelles;Animations;Autoroute proche;sncf proche;aeroport loin;Alpes du Nord;Savoie (73)
LaFeclaz;1350;1550;29;5;4;2;1;0;0;1;7;67;150;38;1500;250;265;1600;2000;Pas neige art.;pas Ski-france;Pas liaison;Px <5000;Mauvais rapport q-p;pas familiale;D. pas performant;Pas grand ski;Pas surf;Station pas village;D. grand fond;Act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport proche;Alpes du Nord;Savoie (73)
LeRevard;1350;1550;29;2;6;1;1;0;0;0;5;67;150;38;500;240;250;1600;2000;Pas neige art.;pas Ski-france;Pas liaison;Px <5000;Mauvais rapport q-p;pas familiale;D. pas performant;Pas grand ski;Pas surf;Station pas village;D. grand fond;Act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport proche;Alpes du Nord;Savoie (73)
Tignes;1850;3450;300;19;59;36;11;2;4;50;40;209;44;0;28000;375;430;1935;4200;Neige art.;Ski-france;Liaison;Px 7000-9000;Bon rapport q-p;familiale;D. performant;Grand ski;Surf;Station pas village;D. pas grand fond;Pas act. nature;Pas man. culturelles;Animations;Autoroute proche;sncf proche;aeroport loin;Alpes du Nord;Savoie (73)
LaRosiere1850;1850;2650;65;5;12;11;5;0;0;5;13;129;14;20;7600;280;380;1800;3600;Pas neige art.;Ski-france;Liaison;Px 5000-7000;Bon rapport q-p;familiale;D. performant;Pas grand ski;Pas surf;Station village;D. pas grand fond;Act. nature;Pas man. culturelles;Animations;Autoroute proche;sncf proche;aeroport loin;Alpes du Nord;Savoie (73)
SainteFoyTarantaise;1550;2620;21;1;2;7;4;0;0;3;1;94;14;0;450;260;280;2000;3400;Pas neige art.;pas Ski-france;Pas liaison;Px 5000-7000;Mauvais rapport q-p;pas familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. pas grand fond;Act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport loin;Alpes du Nord;Savoie (73)
LesArcs;1800;3226;200;13;44;37;18;1;3;30;42;208;15;0;30000;280;370;1890;3990;Neige art.;Ski-france;Pas liaison;Px 7000-9000;Bon rapport q-p;pas familiale;D. performant;Grand ski;Surf;Station pas village;D. pas grand fond;Act. nature;Pas man. culturelles;Animations;Autoroute proche;sncf proche;aeroport loin;Alpes du Nord;Savoie (73)
Montchavin;1250;3250;210;14;67;33;7;1;8;30;74;209;12;0;8500;330;540;1600;4400;Neige art.;pas Ski-france;Liaison;Px 7000-9000;Bon rapport q-p;familiale;D. performant;Grand ski;Surf;Station village;D. pas grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport loin;Alpes du Nord;Savoie (73)
LaPlagne;1250;3250;210;14;67;33;6;1;8;30;74;209;96;25;45000;276;344;1960;4190;Neige art.;Ski-france;Liaison;Px 7000-9000;Bon rapport q-p;familiale;D. performant;Grand ski;Surf;Station pas village;D. pas grand fond;Pas act. nature;Pas man. culturelles;Animations;Autoroute proche;sncf proche;aeroport loin;Alpes du Nord;Savoie (73)
Peisey-Vallandry;1600;3226;36;5;3;13;1;0;1;5;8;139;43;29;8500;235;335;1300;3400;Neige art.;Ski-france;Liaison;Px 5000-7000;Bon rapport q-p;pas familiale;D. performant;Grand ski;Surf;Station pas village;D. grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport loin;Alpes du Nord;Savoie (73)
ChampagnyenVanoise;1250;3250;30;1;9;6;0;0;1;1;9;139;35;25;3500;350;450;1300;3150;Pas neige art.;pas Ski-france;Liaison;Px 5000-7000;Bon rapport q-p;familiale;D. performant;Grand ski;Pas surf;Station village;D. pas grand fond;Act. nature;Man. culturelle1;Animations;Autoroute proche;sncf proche;aeroport loin;Alpes du Nord;Savoie (73)
PralognanlaVanoise;1410;2355;32;5;6;6;4;1;0;3;10;105;25;30;7200;240;380;1200;3200;Neige art.;Ski-france;Pas liaison;Px 5000-7000;Bon rapport q-p;pas familiale;D. performant;Pas grand ski;Pas surf;Station village;D. pas grand fond;Act. nature;Pas man. culturelles;Animations;Autoroute proche;sncf proche;aeroport loin;Alpes du Nord;Savoie (73)
Valmorel;1400;2550;162;22;38;15;9;0;2;12;34;141;20;0;8500;500;870;2380;5250;Neige art.;Ski-france;Liaison;Px >9000;Bon rapport q-p;familiale;D. performant;Pas grand ski;Surf;Station village;D. pas grand fond;Act. nature;Man. culturelle1;Animations;Autoroute proche;sncf proche;aeroport loin;Alpes du Nord;Savoie (73)
LaTania;1350;3200;113;26;27;36;11;1;10;15;42;176;8;0;2500;420;580;2002;5096;Neige art.;Ski-france;Liaison;Px 7000-9000;Bon rapport q-p;familiale;D. performant;Grand ski;Pas surf;Station pas village;D. pas grand fond;Act. nature;Pas man. culturelles;Animations;Autoroute proche;sncf proche;aeroport loin;Alpes du Nord;Savoie (73)
Courchevel;1575;2700;150;26;27;36;11;1;9;15;42;176;50;20;32000;560;645;4500;6600;Neige art.;Ski-france;Liaison;Px >9000;Bon rapport q-p;familiale;D. performant;Grand ski;Surf;Station pas village;D. pas grand fond;Act. nature;Pas man. culturelles;Animations;Autoroute proche;sncf proche;aeroport proche;Alpes du Nord;Savoie (73)
Cellier;1300;2550;165;22;38;16;8;0;2;12;35;157;25;0;350;200;200;1500;2500;Neige art.;pas Ski-france;Liaison;Px 5000-7000;Bon rapport q-p;pas familiale;D. performant;Pas grand ski;Pas surf;Station village;D. pas grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport loin;Alpes du Nord;Savoie (73)
Meribel;1100;2950;108;11;32;21;10;0;16;16;25;176;24;0;31000;475;580;3200;5900;Pas neige art.;Ski-france;Liaison;Px >9000;Bon rapport q-p;familiale;D. performant;Grand ski;Pas surf;Station pas village;D. pas grand fond;Act. nature;Pas man. culturelles;Animations;Autoroute proche;sncf proche;aeroport proche;Alpes du Nord;Savoie (73)
StMartindeBelleville;1450;2850;120;6;12;32;11;1;9;18;20;175;28;0;1400;400;450;1700;3800;Neige art.;Ski-france;Liaison;Px 7000-9000;Bon rapport q-p;familiale;D. performant;Grand ski;Pas surf;Station village;D. pas grand fond;Act. nature;Man. culturelle1;Pas animation;Autoroute proche;sncf proche;aeroport loin;Alpes du Nord;Savoie (73)
ValThorens;2300;3200;120;6;14;25;5;2;2;15;8;175;5;0;20000;325;525;1800;4600;Neige art.;Ski-france;Liaison;Px 7000-9000;Bon rapport q-p;familiale;D. performant;Grand ski;Surf;Station pas village;D. pas grand fond;Act. nature;Pas man. culturelles;Animations;Autoroute proche;sncf proche;aeroport loin;Alpes du Nord;Savoie (73)
StFrancoisLongchamp;1450;2550;65;8;12;5;3;0;0;3;13;110;30;0;5000;330;405;1915;3600;Neige art.;Ski-france;Liaison;Px 5000-7000;Bon rapport q-p;pas familiale;D. performant;Pas grand ski;Pas surf;Station pas village;D. pas grand fond;Act. nature;Pas man. culturelles;Animations;Autoroute proche;sncf loin;aeroport loin;Alpes du Nord;Savoie (73)
LesMenuires;1850;3200;120;6;12;32;11;1;6;18;20;175;28;0;22000;340;380;1800;3500;Neige art.;Ski-france;Liaison;Px 7000-9000;Bon rapport q-p;familiale;D. performant;Grand ski;Surf;Station pas village;D. pas grand fond;Act. nature;Pas man. culturelles;Animations;Autoroute proche;sncf proche;aeroport loin;Alpes du Nord;Savoie (73)
BonnevalsurArc;1800;3000;20;4;8;4;2;0;0;2;8;101;0;0;1500;270;300;1200;3360;Pas neige art.;Ski-france;Pas liaison;Px 5000-7000;Mauvais rapport q-p;pas familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. pas grand fond;Act. nature;Pas man. culturelles;Pas animation;Autoroute loin;sncf proche;aeroport loin;Alpes du Nord;Savoie (73)
Bessans;1750;2200;5;4;1;0;1;0;0;1;3;67;80;47;1500;280;280;1170;2660;Pas neige art.;Ski-france;Pas liaison;Px 5000-7000;Bon rapport q-p;pas familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. grand fond;Act. nature;Pas man. culturelles;Pas animation;Autoroute loin;sncf proche;aeroport loin;Alpes du Nord;Savoie (73)
TermignonlaVanoise;1300;2500;35;3;4;3;0;0;0;2;4;80;45;0;800;250;290;1250;2500;Neige art.;pas Ski-france;Liaison;Px 5000-7000;Mauvais rapport q-p;pas familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute loin;sncf proche;aeroport loin;Alpes du Nord;Savoie (73)
ValCenis;1400;2800;70;8;7;12;4;0;1;12;10;108;15;0;8500;270;330;1500;2900;Neige art.;Ski-france;Pas liaison;Px 5000-7000;Bon rapport q-p;familiale;D. performant;Pas grand ski;Pas surf;Station village;D. pas grand fond;Act. nature;Man. culturelle1;Animations;Autoroute loin;sncf proche;aeroport loin;Alpes du Nord;Savoie (73)
Bramans;1220;1700;1;1;0;0;0;0;0;0;1;15;50;0;1300;250;410;1300;2600;Pas neige art.;pas Ski-france;Pas liaison;Px <5000;Mauvais rapport q-p;familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. pas grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute loin;sncf proche;aeroport loin;Alpes du Nord;Savoie (73)
Aussois;1500;2750;50;10;3;6;2;0;0;5;6;92;35;25;3000;255;280;1412;2716;Pas neige art.;Ski-france;Pas liaison;Px 5000-7000;Mauvais rapport q-p;familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. pas grand fond;Act. nature;Pas man. culturelles;Animations;Autoroute loin;sncf proche;aeroport loin;Alpes du Nord;Savoie (73)
Valfrejus;1550;2737;52;4;10;2;4;0;2;4;6;106;3;0;3500;250;360;1330;3600;Pas neige art.;Ski-france;Pas liaison;Px 5000-7000;Bon rapport q-p;familiale;D. performant;Pas grand ski;Pas surf;Station pas village;D. pas grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute loin;sncf proche;aeroport loin;Alpes du Nord;Savoie (73)
Valloire;1430;2600;150;19;23;32;15;0;1;13;20;124;40;0;12000;260;330;1500;3735;Pas neige art.;Ski-france;Liaison;Px 5000-7000;Bon rapport q-p;familiale;D. performant;Pas grand ski;Surf;Station village;D. pas grand fond;Act. nature;Man. culturelle1;Animations;Autoroute loin;sncf proche;aeroport loin;Alpes du Nord;Savoie (73)
Valmeinier;1650;2600;150;19;23;29;15;0;1;13;18;124;15;0;3200;280;280;1590;3810;Pas neige art.;Ski-france;Liaison;Px 5000-7000;Bon rapport q-p;familiale;D. performant;Pas grand ski;Surf;Station pas village;D. pas grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute loin;sncf proche;aeroport loin;Alpes du Nord;Savoie (73)
LaToussuire;1800;2400;40;4;6;15;1;0;0;5;14;105;27;0;8000;250;350;1000;3000;Neige art.;Ski-france;Liaison;Px 5000-7000;Bon rapport q-p;pas familiale;D. performant;Pas grand ski;Pas surf;Station pas village;D. pas grand fond;Act. nature;Pas man. culturelles;Animations;Autoroute loin;sncf proche;aeroport loin;Alpes du Nord;Savoie (73)
StSorlindArves;1550;2600;90;7;4;8;2;0;0;2;12;98;16;0;3500;270;300;1700;3000;Pas neige art.;pas Ski-france;Liaison;Px 5000-7000;Mauvais rapport q-p;pas familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. pas grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute loin;sncf proche;aeroport loin;Alpes du Nord;Savoie (73)
LeCorbier;1550;2267;120;8;10;16;2;0;0;11;33;110;30;0;6000;240;375;1415;3230;Neige art.;Ski-france;Liaison;Px 5000-7000;Bon rapport q-p;pas familiale;D. performant;Pas grand ski;Surf;Station pas village;D. pas grand fond;Pas act. nature;Pas man. culturelles;Animations;Autoroute loin;sncf proche;aeroport loin;Alpes du Nord;Savoie (73)
StColombandesVillards;1100;1700;10;1;1;2;2;0;0;1;4;66;15;0;900;180;200;1800;2100;Pas neige art.;pas Ski-france;Pas liaison;Px <5000;Mauvais rapport q-p;pas familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. pas grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute loin;sncf proche;aeroport loin;Alpes du Nord;Savoie (73)
LeDesertdEntremont;1100;1400;2;1;3;2;1;0;0;0;3;52;40;30;1500;220;320;1200;1600;Pas neige art.;pas Ski-france;Pas liaison;Px <5000;Bon rapport q-p;pas familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. grand fond;Act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport proche;Alpes du Nord;Savoie (73)
LeGranier;1000;1450;2;2;2;2;0;0;0;0;4;52;8;30;1500;220;320;1200;1600;Pas neige art.;pas Ski-france;Pas liaison;Px <5000;Mauvais rapport q-p;pas familiale;D. pas performant;Pas grand ski;Pas surf;Station pas village;D. grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport proche;Alpes du Nord;Savoie (73)
LePlanolet;1050;1550;4;2;3;2;1;0;0;0;6;60;12;30;1500;220;320;1200;1600;Pas neige art.;pas Ski-france;Liaison;Px <5000;Mauvais rapport q-p;pas familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. pas grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport proche;Alpes du Nord;Savoie (73)
Chamrousse;1700;2250;73;6;15;7;7;1;0;9;16;125;55;30;15000;200;280;1500;3550;Neige art.;Ski-france;Pas liaison;Px 5000-7000;Bon rapport q-p;familiale;D. performant;Pas grand ski;Surf;Station pas village;D. grand fond;Pas act. nature;Man. culturelle1;Animations;Autoroute proche;sncf proche;aeroport loin;Alpes du Nord;Isere (38)
