KIDEN;Altstation;Altsommetdespistes;Kmpistesalpin;Nbvertes;Nbbleues;Nbrouges;Nbnoires;tlpheriques;tlcabines;tlsieges;tlskis;Pxalpin;Kmpistesfond;PXfond;Nblits;bassesaison;hautesaison;Prixappartementbassesaison;Prixappartementhautesaison;Neigeartificielle;SkiFrance;Liaisonsautresstations;Tranchesprixsemaine;Rapportqualite.prixforfait;Stationfamiliale.enfants;Domaineperformant;Grandski;Surf;Stationvillagenature;Grandsitenordique;Activitesnature;Manifestationsculturelles;Animation;Autoroute;sncf;aeroport;Massif;Departement
FontRomeu;1750;2204;52;15;11;8;6;0;1;7;25;128;80;38;18000;230;250;1800;2500;Neige art.;pas Ski-france;Liaison;Px 5000-7000;Bon rapport q-p;familiale;D. performant;Pas grand ski;Surf;Station pas village;D. grand fond;Act. nature;Pas man. culturelles;Animations;Autoroute loin;sncf proche;aeroport loin;Pyrenees;Pyrenees Orient (66)
PortePuymorens;1600;2500;40;6;5;3;3;0;0;4;9;105;28;30;40;190;210;1100;2200;Pas neige art.;pas Ski-france;Pas liaison;Px 5000-7000;Mauvais rapport q-p;pas familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. pas grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute loin;sncf proche;aeroport loin;Pyrenees;Pyrenees Orient (66)
CerdagnePuigmal2600;1800;2600;20;3;3;7;5;0;0;2;7;100;14;0;300;260;275;1000;1500;Pas neige art.;pas Ski-france;Pas liaison;Px 5000-7000;Mauvais rapport q-p;pas familiale;D. pas performant;Pas grand ski;Pas surf;Station pas village;D. pas grand fond;Act. nature;Pas man. culturelles;Pas animation;Autoroute loin;sncf proche;aeroport loin;Pyrenees;Pyrenees Orient (66)
Guzet;1100;2100;40;10;8;10;6;0;0;3;18;100;4;0;2000;230;330;1500;2500;Neige art.;pas Ski-france;Pas liaison;Px <5000;Mauvais rapport q-p;familiale;D. pas performant;Pas grand ski;Pas surf;Station pas village;D. pas grand fond;Act. nature;Pas man. culturelles;Pas animation;Autoroute loin;sncf proche;aeroport loin;Pyrenees;Ariege (09)
Ax-Bonascre;1400;2400;70;9;4;11;2;0;1;4;14;115;0;0;9105;198;229;1100;2950;Neige art.;Ski-france;Pas liaison;Px 5000-7000;Bon rapport q-p;familiale;D. performant;Pas grand ski;Pas surf;Station pas village;D. pas grand fond;Act. nature;Pas man. culturelles;Pas animation;Autoroute loin;sncf proche;aeroport loin;Pyrenees;Ariege (09)
Mijane-Donezan;1530;2060;8;4;2;1;1;0;0;0;5;75;36;30;800;210;230;1300;1500;Pas neige art.;pas Ski-france;Pas liaison;Px <5000;Mauvais rapport q-p;pas familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. pas grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf loin;aeroport loin;Pyrenees;Ariege (09)
Montferrier;1400;2000;19;5;4;9;2;0;0;0;13;89;0;0;1635;205;242;1275;3200;Pas neige art.;pas Ski-france;Pas liaison;Px 5000-7000;Mauvais rapport q-p;familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. pas grand fond;Act. nature;Pas man. culturelles;Pas animation;Autoroute loin;sncf proche;aeroport loin;Pyrenees;Ariege (09)
Luchon-Superbagneres;1800;2260;27;4;8;5;6;0;1;5;9;103;27;0;7000;208;260;1000;1500;Neige art.;Ski-france;Pas liaison;Px 5000-7000;Bon rapport q-p;familiale;D. performant;Pas grand ski;Pas surf;Station village;D. pas grand fond;Pas act. nature;Pas man. culturelles;Animations;Autoroute loin;sncf proche;aeroport loin;Pyrenees;Haute Garonne (31)
Peyragudes;1600;2400;37;4;13;13;2;0;0;6;10;108;0;0;2200;260;290;2050;3690;Neige art.;Ski-france;Pas liaison;Px 5000-7000;Bon rapport q-p;familiale;D. performant;Pas grand ski;Pas surf;Station village;D. pas grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute loin;sncf proche;aeroport loin;Pyrenees;Hautes Pyrenees (65)
PiauEngaly;1850;2500;50;7;14;9;7;0;0;9;11;111;0;0;4000;365;415;1600;4290;Neige art.;Ski-france;Pas liaison;Px 7000-9000;Bon rapport q-p;familiale;D. performant;Pas grand ski;Surf;Station pas village;D. pas grand fond;Pas act. nature;Man. culturelle1;Pas animation;Autoroute loin;sncf proche;aeroport loin;Pyrenees;Hautes Pyrenees (65)
